image_id,present_words
1,"area,beyond,big,break,building,center,circular,city,clothes,comfortable,coming,daytime,few,fountain,good,greenery,heat,light,lit,many,men,middle,morning,office,overseas,park,people,planted,pleasant,running,several,sidewalk,splash,stroll,strong,sun,surrounded,training,tree,visit,walking,wanted,water,wear,wearing,weather,woman"
3,"africa,america,asia,atmosphere,between,bicycle,blue,bright,brilliantly,building,center,cloud,country,crowded,definitely,enjoy,entrance,faint,few,foreign,front,hot,japan,life,lining,little,long,man,much,nervousness,one,overtime,overwhelming,passing,pedestrian,people,place,plaster,probably,remark,road,screen,several,shine,shop,shopkeeper,shopping,short,sideways,signage,signboard,sky,sleeve,small,south,stone,street,sun,superior,surely,townscapes,traffic,train,visible,walking,wear,white,work"
9,"boat,canoe,canoeing,coming,covered,descending,descends,experience,fast,flashy,flow,fun,getting,good,hand,he,helmet,high,hilarious,kayak,man,manipulating,may,men,mountain,myself,oar,oneseater,paddling,painful,pattern,place,red,river,row,sight,small,soulfully,sport,stream,surely,two,wave,well,wet"
14,"around,benefit,big,bronze,brown,buffalo,bull,bullfighting,cattle,center,city,cow,cows,door,gathering,golden,grow,happily,horn,image,imaged,large,looking,object,pavement,people,picture,placed,pose,statue,stone,surrounding,taking,threat,touching,tourist,water,woman"
20,"around,arranging,bet,board,casino,chip,clogged,coin,colorful,dealer,digit,double,finger,game,green,hand,holding,many,mat,meaning,near,number,numeral,one,person,play,plenty,purple,put,ring,round,stacked,table,top,white,wondering,written,yellow"
28,"arm,arrives,atmosphere,came,car,concerned,dark,door,leaking,light,lonely,male,many,open,orange,people,reflected,screen,several,short,shortsleeping,silver,sparse,state,station,stopped,stopping,subway,train,walk,walking"
30,"around,back,backbone,bed,blade,blonde,body,close,comfortable,eye,flat,hand,her,lady,lie,lying,massage,massager,massaging,method,naked,operation,performing,person,pleasant,receiving,reflected,seemed,sex,sheet,shiatsu,shoulder,standing,table,treatment,upper,waist,wearing,white,whose,woman,women"
41,"animal,big,blue,body,brown,bucket,calf,cattle,confused,covered,cow,cute,face,fence,formed,friend,head,here,house,interesting,kangaroo,laughing,may,mistake,near,one,pasture,people,place,playing,pretty,puddle,ranch,separated,she,small,stand,two,watching,wearing,wide,wonder"
48,"area,below,blue,car,cityscape,cleanly,clear,cloud,enviable,floating,front,garage,garden,gray,green,house,large,lined,lining,live,maintained,more,one,outside,parked,parking,passenger,place,plant,residential,rich,several,silver,sky,stand,staying,stopped,suit,two,villa,vivid,white,wide"
50,"backpack,brown,care,carrying,colorful,doe,etc,facility,foreground,fruit,hat,kind,lined,man,market,men,much,narrowed,overseas,place,rucksack,seen,shopping,sightseeing,sold,somewhere,state,super,taste,tasty,variety,various,visiting,wearing"
51,"artificially,attached,background,bait,bar,bird,birds,black,board,care,caught,cereal,circle,desperately,equipment,high,hole,line,made,nut,off,pattern,penetrating,pierce,piercing,pillar,poking,room,seed,small,speed,stop,stuck,symbol,time,tree,trunk,two,wall,white,woodpeck,woodpecker"
56,"adjacent,ahead,beautiful,blue,building,city,clear,daytime,densely,entire,felt,forest,highrise,land,landfilled,lined,lining,many,modern,night,nothing,ocean,parks,plenty,scenery,screen,sea,sky,skyscraper,someday,stand,surrounded,top,view,wide,wishing"
63,"amenable,another,approaching,beyond,big,body,central,child,considering,edge,face,family,feeling,head,hippopotamus,hoisting,lying,one,parent,really,relaxing,resting,river,seen,sideways,small,stand,standing,sunny,three,transmitted,two,water,waterside,well"
67,"atmosphere,back,behind,bit,black,blackboard,blue,class,classroom,composition,draw,drawing,dressed,eagerly,education,essay,exam,eyed,face,felt,foreign,fun,glass,grab,gray,highschool,issued,late,lesson,light,lined,little,male,mature,men,nobody,note,notebook,pen,people,perhaps,probably,scarf,seat,seemingly,serious,shirt,spelling,student,stuffed,taking,task,teen,teenager,tension,thin,transmitted,two,wall,watching,white,woman,write"
69,"back,big,close,couple,family,female,fountain,front,homosexual,imitating,inside,largely,lined,looking,love,member,monument,neighborhood,object,pair,park,picture,posing,seemed,shoulder,similar,suspicion,taking,two,under,woman,word,written"
77,"atmosphere,backrest,bible,book,brown,center,chair,church,cover,english,felt,fine,hard,harsh,imagined,leg,line,lined,made,many,one,overall,placed,plenty,purple,read,red,reddish,same,screen,seat,somehow,surroundings,thick,title,understand,wood,wooden,written"
