1," Although the heat is coming from people walking overseas, the splash of the fountain in the center seems to be very comfortable. 53 ", There is a big fountain in the middle of the park. Several man and woman wearing train wear are walking as before. I wanted to stroll in the morning. 66 , A woman is walking by a few people on a sidewalk in the park. There are many trees planted on both sides. Beyond the sidewalk there is a circle fountain. 55 ," It's like a park with many building in the office area. There are also many fountains and greenery, and it seems pleasant for a break. There are lots of light clothes, people of running wear are also there, so the weather is good. 84","A park in the daytime surrounded by the city. The sun is strong, people walking in the park seems to be lit. Water splashes out of the big fountain in the middle"
3, The blue sky and building are on the left and right. People are walking the way between building. There are people with short sleeves and shorts. It seems to be hot. The bicycle is shown at the entrance of the building on the right. 66 ," Blue sky and townscapes like South America, building with signboards with signage like shopping streets and a few people passing in front of them. In the center  is a man like one shopkeeper in the shop. I do not think that I want to go so much because there is little traffic, in a faint atmosphere. 107 "," There is a road in the center of the screen, and pedestrians are walking several people. On the right side there is a building that is long sideways like white stone or plaster, and small shops are lining up. 65 0","Sky with no cloud, surely the sun will shine brilliantly. It seems to be a foreign country in Asia or Africa, but I definitely think that people are bright and enjoying life. It is probably not a place to wear nervous to crowded trains, overtime work or overwhelming remarks of superior people.",
9, This is a kayak. It is a sport that rows oars by myself in a small boat and descending a river. It will surely be wet but it looks fun. 67 , A man on a red canoe in a mountain stream is paddling. It may be that the experiencing is not good because it looks hilarious as the waves is getting high. I want you to get through well. 76 ," There is a man on a river with a one seat canoe. It seems to be fun at first sight, but it seems to be painful coming to a place with fast flow. 54 0",There are man who are descending in a canoe stream stream. man is covering with a flashy pattern helmet. I am manipulating all with the two hand. ,
14, A golden bull object is placed in the city. A lot of people are surrounding it. There seems to be a benefit just by touching. 55 , There is an image of a large golden cow on the stone pavement. It seems to have imaged a bullfighting pose. There are lots of tourists around. 62 , The bronze statue of a golden cow looks like a threat to something in the center. The woman next door seems to be taking pictures looking happy. 57 0,"Big cattle objects in the city. People are gathered  around. cow are brown and large horns grow, so it is water buffalo. ",
20, I put a round thing on the one where the number is written. Do you play games? There are colorful things. Who knows who it is? 65 , There are many double digits on the green board. A person is arranging chips on top of it. I was wondering if there is a meaning to put on the number.  ," White, yellow, green, purple coin are stacked and clogged near the number 17 on the green table with number written. There is a ring on the ring finger of the left hand holding the coin. 7 0 0",A dealer at a casino puts a bet on man mat on a mat with a number. There seems to be plenty in number around 17,
28, Orange screen. There is a train on the left. Silver color. A short short sleeping man walks to the right. I see an arm on the right. 54 , The subway arrival at the station and the state that the door is open is reflected. Several people were walking at the station I was concerned about where they came from. 67 , The train is stopping at the station Orange light in the car is leaking into the station People walking are sparse and many people are light. 57 0,"The train is stopped at the station  and the door is open. There are many people at the station but there is a dark, lonely atmosphere.",
30, The woman whose upper body is naked lies flat and lying on woman back and massage her. It looks very pleasant and I want to know the massage method. 59 , A blonde woman is lying on the bed naked in upper body. The hand of a person who seemed like a massage was reflected and shiatsu around the shoulder blade from the backbone. woman looks very pleasant. 79 , A woman who is not wearing woman upper body is standing down and receiving a massage. The woman is close in woman eye and looks very comfortable. 58 0,"A woman who is receiving treatment on woman back on woman massage table. The upper body is naked, white sheets on the waist. I do not know the sex of the person performing the massage",
41, It's a vast pasture. The cattle on the right side is wearing something bucket on man head. interesting. It may be a calf because the body looks small. I wonder if woman is playing. 64 ," An animal wearing a cow and a bucket stands in a ranch where a puddle is formed. Neither of them seems to have a friend in the near place. It seems to be confused by the puddle, it is pretty cute. 82 ", There are cattle and kangaroos in the ranch in the house. It is interesting that kangaroo covering a bucket in the head by mistake. People who are watching are also laughing. 61 0,There are two cow in a pasture separated by a fence. One brown and big. I am watching here. The other has a blue bucket on man face,
48," Two large houses stand side by side. It is a very large house, the garden is vast and the plant are clean maintained. I would like to live in such a place once. 66 ", Residential area where white house and green lined up. A silver car is staying in front of the white garage. A car with a more vivid color seems to suit the cityscape. 66 , The clear sky. Several white cloud are floating. Below that there are houses lined up. A silver passenger car is parked in front of a white house. 58 0,Blue sky. One gray car is stopped in a parking lot outside two houses lining up. I thought it was envy whether it was a rich house,
50, There are places like the market. A lot of fruits are sold. It seems that a man wearing a hat and carrying a backpack is shopping. 61 , man shopping in overseas markets are on the left side. I thought that I was carrying a rucksack and visiting for sightseeing. 55 ," It is a state of shopping facility of somewhere super or something, and colorful fruits  are lined up. There are kinds that I have not seen so much, and I care what kind of taste it does. 77 0",Various colorful various of fruits are lined up and narrowed. A man in the foreground sees something like brown fruit but this seems not to be tasty for a while.,
51, The woodpecker which stops at the trunk like a lot of nuts stuck and is poking at high speed. I care what the equipment like the background symbol is. ," Small bird of black and white patterns are stuck on pillar made of cereals and they are piercing the pillar. In the white room, two white boards are off the wall on the wall, with black lines you can see a circle and a bar penetrating it. "," The bird is piercing things like trees. Something like seeds and nuts are attached to the tree, which is like a bait made articial. I want to know what bird this bird is. ", bird are caught in the tree and desperate trying to pierce the trees. Is this woodpecker? It will take time until there are holes.,
56, It seems to be a land that landfill the ocean. There are many high rise building densely lining up. Park with vast forests are also adjacent. , There are high rise building that stand on the entire screen. It is surrounded by the sea. I felt it was a modern city. ," There are many skyscrapers lined with clear blue sky. Someday, I will feel like wishing to get ahead of scenery like this from the top. "," There are plenty of building lined up. There is nothing to feel so beautiful in the daytime, but it will be a beautiful night view at night.",
63, There are three hippopotamus on the waterfront. A big head stands sideways. Hippopotamus of small child are hoisting. A river can be seen beyond. , Will it be parent and child of hippopotamus? It is a feeling that child are amenable to their parents. Is it doing sunny as well? It is really big. ,Hippopotamus' family is relaxing by the water. The feelings of considering each other are transmitted. I think I want to be such a family. ," There are three hippopotamus on the water's edge. It seems that the two heads are lying down and are resting. Another one is standing, and the face is approachinging to the body of the center hippopotamus.",
67, A white man dressed in a thin light blue shirt with black eye glasses on the left draws something on the note. Next to that there is a woman who looks like a teenager who holding a pen and draws something on man notebook. I have a gray scarf A woman is drawing something on two People notes in the back. I can see a blackboard. Is it a classroom? , Classroom where mature foreign students are lined up. I am taking notes eager. It seems like highschool from the atmosphere of the classroom. The seemingly serious student tension seems to be transmitted. ," Serious  students. Perhaps in this lesson I think that tasks spelling something like an essay or composition are issued. Because nobody is watching the blackboard, but it seems a bit of a fun look, it probably will not be an exam. It is not stuffed education, the atmosphere of a foreign class is felt only a little. ","It seems to be in the classroom. There is a blackboard on the wall behind. Before that, man and woman of the late teens face down for the seat and writing something.",
69," Before the big fountain, there is an object imitating the word ""LOVE"". Under the object two woman are pose. Next to that, it seemed like the couple trying to take photo lined up side by side. ", Two woman taking pictures under the object of LOVE. Is it a couple? A family member who is close to me seems to be looking back on suspicion. , There is a big monument in front of the fountain. LOVE and it is written largely. Under the monument woman pairs shoulder to take pictures. ," Object of the park? If there are similar things in the neighborhood, I would not go inside and take a picture.",
77," There are plenty of chairs, one of which has a book of red hard cover. Although I can not see the title, I think its church from the overall atmosphere, I thought that the book is a Bible. "," There are many legs of the same chair made of wood, with a thick book on one of them. The title is written with something like English with a brown cover. I felt that there was a harsh atmosphere in the surroundings. Is it a church? ", There is one book on the chair. I thought it was somehow a Bible but I could not understand it. It feels like books with fine lines lined up. ," There are chairs with brown wooden backrests. On the seat of the chair at the center of the screen, a thick book of red purple cover is placed.",
84, It is a night view that makes you feel calm. You will be healed by seeing the wonderful scenery of tiredness of the day. I can do my best tomorrow. ," The ocean of the night is spreading throughout. The sky is indigo and the moon is shining. The other side is sparkling with the lights of the city, and the light of the moon seems to make it even more glittering. "," No waves are standing. There is a calm land on the horizon of the sea or lake. light is attached and it is bright. There is a moon in the sky, and the sky color and the moon appear beautiful above the water. "," Space divided into a large river and the sky, the boundary line shows the mountains and the lights of the town. Overall blue coloration, it is a fantastic atmosphere.",
85, Many solar panels appear to be storing energy in the clear sky. Solar panels all look like gentle curved at the corners. , A number of unusual shapes of metal clusters that are neither square nor round are lined up facing the sky. It seems to be collectinging the sun's light. ," A number of solar panels are installed for the sky of fine weather. The panel is depressed at the center part, and a rod shaped part comes out from the bottom. "," Blue sky is heading, a lot of square objects are build. It gathers sunlight, has a slightly dented shape inside.",
89," It seems that small animal are looking for grass where they are growing in sandbox areas. The animal pushing their faces are strange, but they seem cute. "," Several small animal with long neck and tail stick to the ground on the sand ground where the grass grew, so that the face sticks to the ground. Is there food in the ground? "," animal looking for food on rough earth. The soil is dry, with little grass. Is there something to eating in such places? ", There are a lot of animal like Armadillo like badger in the sand. It seems that man is looking for something by dig sand with the front leg.,
97," It's red and you can see things like fire in some places. It looks very hot like magma and Mars. It seems to be sucked in, it makes me a little scared. "," Magma burning in red is spreading on one side of the screen. It looks very hot, I thought that if you actually see it you will fall into fear. It seems to be the surface of the sun. Dark orange color sparsely drew a pattern on black, where yellow and some places are burning bright. It seems that it will be torn by hot. ", The surface of the sun is reflected. There are orange and black parts. You can see that the temperature is abnormally high. You can see things like magma. , I can see the magma emitting yellow light which is likely to eruption from the red black as much as the magma or the volcano.,
99, There is a green glossy fabric full on the screen. There are wrinkles and shadows. A light green light seems to shine. It looks like satin. ," Shiny green satin fabric is shown up. It looks like it was before making an attractive dress, but I am concerned that there are many wrinkles. ", Light thin green shiny fabric spreads and waves. I feel as if there is shiny but slightly  way of reflected. I guess it is not exclusive cloth like silk. What you make with this cloth is a costume for a curator. , There is a green satin fabric on the screen. The hardships and wrinkles are gathered. It is shiny. It is an elegant feel.,
104, Prairie spreads on the whole screen. Several goats are walking in the meadow. I thought that I was eating grass and that I had never seen it. ," As the sun goes down, the goat is eating grass slowly. I got an idyllic and idyllic impression. While I was eating meals, I seemed to be laughing at only one and I wanted to play with this goat. ", Wild goat? I knew for the first time that the body of the goat felt like a cow like a cow. It is terribly cute. ," There are several black and white and brown goats. It seems to be eating grass. The sky is orange, like the evening, but without cloud, it has a beautiful color.",
109," In a place like a workplace, a man working is shown. Overall, it was clean and organized in a workplace. "," The forklift is on the left side, and the man on the right side has washing the hose with water with a hose. To the left of that, black items such as coal are packed in a box and stacked. Is it a coal base work scenery? I felt it would be fun. "," There are man who are watering, whether they are working or not. There is already a place like a puddle, but will not it flow? "," There is a man worker wearing a yellow vest in a workplace where many white containers are loaded, and it is spraying water with a hose. A yellow forklift is in motion.",
113, People who see large paintings at museums. Many people are drawing in paintings. Is the woman on the right describing? woman seems to be describing to the next man. ," Painting with a large amount is display on the wall. It seems that Russian soldiers are drawing. There is an adult man and a boy in front of the picture, and an aunt lying side seems to be explanation ", People who are looking at a large painting in a place like a museum. What are they talking about in front of the drawing depicting the crowded people? Is it a couple and their son? My wife seems to be saying something by looking towards woman husband. ," I visited the museum with my grandfather, grandmother, grandchild and I am seeing a big painting. The painting seems to be in wartime, I am watching but what are you thinking about each? It is an interesting picture that makes you think that things you can not imagine but feel at all are different.",
123," The silhouette of the mountain spreads to the back with the shade of the rock and the tree on the left hand. While these are black, the yellow shining night sky and stars. Like a shooting star crosses a little upper right from the center and it is fantastic. "," Feeling that the landscape growing on a hill is a silhouette. The night sky spreads over there, but a lot of stars are hitting and it is very bright. ", Night sky with a perfect starry sky. There are large mountains in front. Two big trees are also shaded. ," Even though it is a beautiful night sky, the whole sky is shining like a rainbow color. It is very beautiful, especially the shooting star.",
126, One woman in the classroom has a pen in woman right hand. woman has a very serious look and I can see by seeing that woman is an eager person. ," To a gray parka, the inner of purple and white, a woman who did a little ethnic necklace is thinking something with a pen. Is it in the middle of testing? I'd like to cheer for some reason when I look at woman in a serious look. "," Short Bob's woman heads to the desk with woman face tilted, holding a pen. The ring finger of the left hand is decoration. Purple scarf is the different color. "," A beautiful woman wearing a gray woolen jacket wears something to the point of being evidentlyirritated. It also appear during the exam, and a sense of tension is transmitted.",
137, It is a very beautiful sky. A little cloud spreads in the blue sky. Looking at the sky sometimes makes me feel like being inhaled. ," cloud are floating in the sky that is clear. Very bright, refreshing and just feeling better. I would like to have a picnic under such sky. "," The blue sky is spreading throughout the screen, white cloud are floating. Some cloud are grayish. It is refreshing impression. "," Blue sky and white cloud that seem to be shown from anywhere. It looks like it is taken with a smartphone. Because it looks thin and rain cloud can be seen, it is also felt that it will rain from now on.",
140, Is it home? Is it the hotel? woman have magazines. You can feel the time of the two people is not it? Sometimes such time is also important. , man and woman in bathrobes in a brown room are sitting on chairs and talking. I thought that there were lots of furniture with a sense of quality and it was a rich family. , man and woman in bathrobes in the interior of antique style seem to be relaxing. Overall it gets a warm and chic atmosphere. ," man and woman are sitting on one seat sofas. Both of them are wearing something like a white bathrobe. Although it is a place of calm feeling for a long time, it is not a place like being in a bath robe and it has a sense of incompatibility.",
145," Amusement park attraction are moving. I can confirm that some people are sitting, but the screen is blurry because I catch the movement. "," There is a big flashy signboard on the building. Before that there is a fence made of metal, a man standing leaning alone. "," Neon that shines like a dazzling light. Even in the night, like the daytime, it is bright illuminated the surroundings. What on earth are they doing here? "," In the darkness, red and yellow and green neon light shimmely shines, you can see a scream machine. A woman looking at a screaming machine moving near. Because it moves in the dark, fear seems to be amplify more than noon.",
151, Is it in the Arabic style palace? It seems that people lined in rows wearing their knees and wearing their forehead against a red carpet. Interior decoration such as geometric stained glass is beautiful. ," About 10 people are lined up in a row on a carpet with a red pattern, bowing with a head on the floor. Is it a religious ceremony? The walls of the building are painted colorful. "," There are dozens of man. They line up in rows, all bowing. man bowing low enough to put man head on the carpet. Only the first man has given man head a little. "," Whether it's a temple, a hall with impressive colorful decoration and carpet, a lot of people praying with a head on the floor are shown.",
159," It seems to be the scenery of the ski resort. I can not see the slopes, but there are shops selling tools. There are many people walking around in ski wear. ", Is it winter now? everybody is acting with terrible warm clothes. It feels like it's cold to the hat. I can see snow is piled up. , Winter landscape. Snow is piled up in the city. Nonetheless both adults and child are going out cheerful wearing a colorful warm clothes. Become active feelings. ," There is a beautiful rectangle building that was build by stacking stones behind. Before that it has become a square, and several people are walking. The people are dressed in down coats and the like.",
174," There are two white pillar on the left and right. The sculpture is given, and the picture is drawing on the wall of the back. I would like to see the picture close. "," Both edges of the screen are curved. A space between white pillar is to be able to get off, and a picture like a religious painting is on the front wall. A woman wearing a hat is walking. "," Building that makes you feel the history in the outdoors. There are decoration sculpture white pillar, mural paintings. There is a place like the altar under the wall, and the candle 's fire is lit there. "," A painting like Christ is drawing on the front wall. The picture is composed of three pieces, and under the picture the fire is lit on things like candles on the left and right.",
177, The moment when I finished shot from the bunker. The club is stamped out and the sand of the bunker is scraped. Has the ball stopped at the pin? , There are man hitting the ball from the bunker in the golf course towards the green. It appear to be flying in a good direction. Beyond the green there is a rocky mountain. ," A man hitting a ball from a golf bunker. I wonder if a part of the sandbox was gouged and I could hitting the ball well. Beside, there is green. I hope the game will go well after this. ", man who enjoying golf in nature. It seems that the hitting ball will be sucked into the vast mountains where you can see it in the back. A better score will come out in an open place than usual.,
183," People are coming and going in the city, the car is crowded, a red double decker bus goes. You can see a person on a taxi. It is messy. ", On the streets of downtown where tall building line up. Many cars and lots of walking people are crowded. You can see a double decker bus and a taxi. , The street of a big city is reflected. A lot of people are walking along the street. A red double decker bus runs like a sightseeing spot on the road. ," You can see a lot of people go and go in a large overseas city where a double decker bus runs. Although the race is various, it seems that there are many rough clothes in clothes.",
186, The snow scene is reflected. Snow is spread all over the ground. The sun is shining. The face of a white animal like a horse is reflected from the front up. ," One animal is coming close to the background of the silver world. The face is up, the sun is shining. I want to know what kind of animal my nose is big. ", The sky and coniferous trees are reflected in the blue sky. A big face of an animal that is pointing woman nose here and the light of the sun are reflected. I thought that the animal were horses. I felt cute and comical. ," Blazing light from the top left, blue sky and trees on the far right, stacked snow. The back of an animal wearing white hair in trouble is shown in the upside, but I do not know what it is.",
190,"A man with gray hair at the restaurant are pouring wine in the glass with one hand. I did not eating again, I thought that it is a person who can drink even if there is nothing to eat. ", Scenery in a restaurant. Outside the window is still bright and seems to be lunch time. An old man with light gray eyeglasses and a white mustache has tried to replace the glass with a red wine decanter. Various kinds of bread put in the front basket will also match red wine. It looks very tasty. ," In an restaurant, an old man wearing glasses is about to pouring wine by tilting the pitcher. The plate in front of you is sky, and basket containing a few pieces of bread. "," A bald, middle aged man tries to pouring wine in a wine glass while holding a wine decanter The face of a man looks very cranky, is man angry about having only bread in front?",
196," It is the hand of the clock. I watch it on a daily basis, but I do not care about the number of seconds. I am sleepy if I look at it for a few seconds. "," The white clock is close. With the black hand, the second hand is red. I thought that the scale was difficult to understand. ","The face of the clock of the hand up. It means 2: 17: 4 seconds. I do not know whether it is morning or afternoon, so I wanted to know how it was going around. "," The hand of a round clock is about to pass by. It is time to pass whatever you are doing, but the consciousness to cherish it growing.",
205," There are 4 boy and girl like school locker rooms. Unlike the atmosphere of a local school, I felt like I was overseas. On the other hand, I had the impression that clothes are abroad, not much different from students. "," There is a group of two woman and a group of two man in a locker room with blue lockers, and they are talking with each other. It become a little sad that man and woman would not get along well with each other. "," Young people chatting in places like college locker rooms. Whether it is a story of classes after this or a game after school, it is probably a story without fun. "," Young woman or two standing face to face where there are lots of blue vertical lockers. Beside, two man are standing opposite each other. It looks like a student.",
212," man are playing soccer. Behind it there is a heavy machine that spread both hand. Is it on the sand, does not it slip? "," In the center surrounded by a sand mountain, the boy is kicking the ball high in the center. The position of hitting the ball's feet is very poor, so it seems that the handling of the ball is very bad. "," There are many mountains of gravel, like a quarry, there is a young man in white tshirt, kicking a soccer ball. There is a red heavy machine over there. ", It seems that man wearing shorts and tshirt are lifting with a soccer ball in places like sand and gravel are being stacked like triangle mountains.,
214, There are one white and black cat in a cage with a padlock. There are baskets for going out. The inside of the cage is very narrow and seems to be tight. ," There are two cats in a silver cage. It is black and white, and two are hug. It's locked with a padlock, it looks like it's going to be narrow and poor. "," In a narrow metallic cage, there are cats that have yellow eye with black coat and white cats. There are blankets in the cage and there is a toilet. "," There are two cats in a cage that seems to be strong, and they are black and white, respectively. There seems to be a lonely atmosphere.",
221," You can see the exterior of the shop that has the signboard calling Bakery · Cafe (bakery cafe), and you can see street stalls and passersby on the street. ","A street corner. The shop front of the cafe is shown. At first sight, I thought that I would like to go to such a cafe once in an image that feels the atmosphere that is not local. ", There is a brick wall bakery on the right side of the screen. The green eaves shows BAKERY CAFÉ. There are stalls along the wall of the building next to the road. ," Looking at a street slightly above, there is a shop that wrote a bakery / cafe in the front corner. There are a lot of people in the store. There are stalls in front of building across the corner and something like accessories and stalls are sold. If customer dropped from the cafe drop in, I think that business will succeed.",
229,"In the first and third stages where four switches and lamps are staged one by one, one lamp written ""PG 2"" is pointing and the middle lamp is ""PG 1"" and ""PG 2"" Both are on. "," Two pairs of black buttons written as AMP, two pairs vertically, three sets of four buttons in total. There is a place where the yellow lamp and the green lamp are lit. ", A lot of things like buttons are shown. The black button is written as AMP. It sounds like a machine button for sound. ," Is it a switch of something? Although it seems to be the same, although there seems to be different things that three exist, I thought that it would not be able to distinguish at first. * ",
236," Do trains pass? There is a signboard, but what does it mean? I do not know because it is Romaji. "," A straight track is reflected in the center. Green grass growing on both sides, I wondered if there is a destination in this mountain rank. "," The railway runs straight through the mountains surrounded by plenty of trees. There is a signboard on the right with a distant to the next destination, which seems to be a general railway track."," It seems to be a rail of a single track train in the country. Green spreads on both sides, and you can see mountains before. The rail is extending straight.",
239, A large green machine like mowing grass on the land of wheat. Moving from right to left in the center. A dark cloudy sky that is about to rain. There seems to be no figure of people and the machine is working. ," Under the somewhat cloudy gray sky, a large green machine in a very vast wheat field is a magnificent sight harvesting barley while white smoke is flowing out. "," A green harvest car is running on the vast land where barley is served as a large catch, smoking diagonal from the left side of the screen. The wheel of the tire is yellow.","It is a very vast field. It will be a huge field with hay. Without such huge harvest with such a big car, it is impossible with human power. ",
245," It looks like a  bar during the day. Many people are wearing short sleeves, but because there are many people with jackets, I thought it was a bit chilly area or time. "," It is like a bar where many drinks are lined up on the wall, but in the daytime the interior is bright. There is a waiter carrying a cocktail. ", Bar counters and tables are crowded with people. You can see the back of a woman carrying two cocktails. The wall looks like an old store in wooden tones. , There are several People. There are guests sitting at the counter and working waiters. At the back of the counter there is a bottle shelf with alcohol.,
249, The background shows a cloudy cloud and a helicopter on the left. It is reflected in stunt movies or being caught in a helicopter. ," Big helicopter from below. I do not know if man is trying to land or has just taken off, but a man sticks to the airplane at the step and sticks to the airplane. ", The helicopter is flying at low altitude. It seems to be caught in the electric wire. One person is out from the airplane. I wonder if I will rescue someone from now. , The helicopter is flying low. I can see the back side of the airplane. There is an electric wire there. I feel danger and I feel danger.,
257," There is a tree of white grape, and in the center it is about to harvest grape right now. It is unnatural that the glasses are caught in the jeans who are trying to harvest, but the grape have a tasty color. "," Green is spreading on the entire screen. Yellow green fruit is in it, people are taking fruit using red scissors. It looks delicious and I want to taste it. ",Muscat is grape ripe. Someone is trying to rip off the fruit with scissors. It looks very tasty. , There are lots of grape trees lined with yellow green fruits. People in jeans in red jersey are about to cut with scissors. ," A person wearing denim on a red jersey holds pliers and harvests the fruit of the grape. grape are green and small and small. Since there are three lines in the jersey, there is a possibility of Adidas. I think red clothes is very conspicuous."
260, Is it a house made of soil? You are tattling. Do all the foreign houses feel like this? , Horizontal building is build on the right side. The pillar made of wood are shown and the roof is about to fall. I thought whether it is a country of poor. , There is a building with a tin roof made of earth and poor wood. It seems like a school because there are many child who have gathered all the clothes. I thought it was pretty with a light blue skirt or pants with a half pink half. , There are many school building made of earth and students wearing pink uniform. Hope is felt from the enjoyment of school and color.,
261," On the floor where square concrete is lined up. A crowd of people is made. The girl seem to be dancing with their hand on their waist, wearing red, blue, white, orange cloths, suffering like a hat like a white straw hat brim outward . near the boy are covering with a round hat with gray or black color, hanging red, white and blue cloths from the sides, standing wearing fur pants. ","A child wearing Mexican style costume are gathered  on the stone pavement, standing to watching the people in the surroundings. costume are arranging by gender. ", A lot of people are reflected. It seems that the child wear a costume and a parade. boy and girl wear different costume. , Is it a festival of some ethnic group? One daughter thought that a girl was calling by man parent because man body is in a different orientation and this dance thought that the child was a men's.,
268, A lot of English letters are lining up. What is being written? Is it a letter? I want to know the meaning. ," English sentences are written on a white background. I do not know the meaning at all, but there are some words I've seen before. It seems interesting to know it makes it interesting. "," It seems like an enlarged screen of sentences written in English, and the character on the right side is somewhat fuzzy. I get an impression like a novel or a Bible. "," It seems to be part of a book on which letters of English letters are written. I do not understand the content, but the characters were not handwritten, but machine clean struck out.",
271, Dark white background. Pouring a light yellow translucent liquid from the right green bottle into a transparent glass. There is a little liquid in the vertically elongated glass. It seems to pouring upward. ," A thin yellow liquid started to be poured from a green bottle into a clear glass cup. Because the background is gray, it is not so good. ", Juice that seems delicious is poured in the cup. The cold juice you drink when it's hot or thirsty is delicious. ," There is one transparent glass and a green plastic bottle on a pure white background, and the finger holding it, and the liquid poured from the plastic bottle is light yellow.",
277, Looks like parent and child are coming to the grave tomorrow during the day with bright sunshine in a foreign country. I thought that there was a big tree on the left because there was a big shadow in front of my eye. , An adult woman and a baby hug in front of a grave in a graveyard where the lawn was beautiful maintained. In the distant you can see the heart shaped tombstone. , Cemetery spreading green lawn. A young woman is hugging herself in front of a gravestone in such a way that it directs the body of a small child to a tombstone. You can see a heart shaped tombstone in the back. ," Good weather. A woman is a boy and two, in front of a tombstone. Red flower are decoration and it seems they are coming to see the deceased.",
